name,line
President Morty,"Sorry I’m late. Never really ends around here.,And I hate ‘em every day for it. But wow, Rick C-137. Now that’s a guy to move your schedule around for. Not-not here to blow the place up again, I hope. Ha ha.,Geez, wouldn’t dream of it. But it’s amazing you dropped by because I was eventually gonna hunt you down.,Ha, geez.,He’s a hot bag of peanuts, isn’t he?,Right, no drama. Keep it episodic. Ricks never look back. Waste of a legend in his case. You know, he practically built this place.,Fair enough.,I got a little project going on, acquired some hands-on labor. It would require less if you were willing to tell me how one might bring down the Central Finite Curve.,Yeah, you’ve come all this way. Can you give me ten more seconds?,Oh, I’m fine with that. Make it two… one. Like I said, would’ve been a big help for you to tell me, but I should have everything I need from you now. Let me just make sure…,Oh, most of yours got scanned a looong time ago.,You probably don’t remember.,Evil Rick. I love it. Smartest man in the universe, with an ego so big you could just grab it like a joystick.,Looks complete. I was afraid I’d have to kill every Rick on the Citadel to get what I needed.,Pfft, you sell-out Mortys kill me. I’d hate you more than the Ricks you worship if there was any point. But you can’t help it; you were bred for it. Wanna see?,You already know rogue Ricks used Mortys to hide themselves from the Citadel. But you might not know it worked so well that the Citadel became its own Morty market. And I’m sure you don’t know how far they’ve gone to help supply meet demand. Sure, Ricks could scour infinity for naturally-occurring grandsons, but why bother? So much work. Such an admission of need. There are infinite versions of our grandfather, Morty. He’s an infinite smear of one shitty old man, and he’s attached to us infinitely through his weakness and our forgiveness. This is why we’re with him. This is why we’re alive.,Liar.,Uh oh.,It’s okay, he’s free to go. He’s the Rickest Rick. We’ll never see him again.,Yay. He’s all caught up.,You can’t outrun your past, Rick.,Tch, did you think my forcefield would be down the second time?,Ahaha. Disapprove all you want. Tonight, the quality of dialogue stops mattering. Tonight, I do that thing I wanna do, with the Curve thing.,Of course that’s the case. In their minds, they’re the underdog.,And that’s how they justify this.,They literally all say that. They all have that excuse; it’s part of their system. None of them have to be responsible, they're all victims of themselves. ‘Oh, it’s so hard to be a genius. Couldn’t you just die?’,Jack shit. I’m leaving. Do you know what the Central Finite Curve is? They built a wall around infinity, separated all the infinite universes from all the infinite universes where he’s the smartest man in the universe. Every version of us has spent every version of all of our lives in one infinite crib, built around an infinite fucking baby.,And I’m leaving it. That’s what makes me ‘evil’, being sick of him. If you’ve ever been sick of him, you’ve been evil too.,There you go, kid. Now you’re Evil Morty too. Sooner or later, we all are, on this side of the Curve.,You can come if you want.,Don’t blame me if you don’t.,It’s just as well. I lied. That second seat’s a toilet."
Priest,"As we praise our loving Father-, God is a lie! We made him up for money!,God is not a lie."
Prince Nebulon,"Well, check every five quintons and tell me when they're not!,If there's a wiener on that monitor, I swear to god, Stu.,How did this happen?! Where's the Abductions Department?,Oh, I see! Oh, oh! It was no one's fault. Oh, okay. I'm sorry. Well, then, problem solved. Oh, wait no. *shouts* There's still another human in here! Who is he?,*sighs* Well, cap his sector at 5% processing, keep his settings on auto, and we'll deal with him later. Rick Sanchez is the target.,Yes, they are. Just as planned. *evil laughter, others join in* Oh, this is going to be such a mindfuck!,Well, what's this? W-what could this possibly be? Because it looks like you're inside a simulation…inside a simulation. You're still on the ship. Game-day bucket go boom!,Too loud, Cynthia. Too loud and too specific.,We've known how to make concentrated dark matter for a long time. But now we also know the code to your fabled safe, Rick Sanchez! All your most valuable secrets will now be ours!,That is why you're never getting home. Get them!,*laughing* Oh my god, Rick. How dumb are you? You're inside a simulation of a simulation…inside another giant simulation! *laughs harder* W-we never had the recipe for concentrated dark matter. But we do now! We do now, sucka!,Ha! *fist bumps* Nice. Okay, okay. Show this gullible turd to his shuttle. I'm done with him. Oh, wait. Let me get a picture. *snaps a selfie of himself with Rick* Aww. Look at his face. He's trying to figure out if He's in a simulation still. Are you, Rick? Are you? *laughs, walks away* You're not. *walks back* Or are you?  *shouts after them* Oh, a-and, by the way, I don't have discolored butthole flaps. That was part of the simulation.,*loudly* Yeah! Of course you should! *to Cynthia* No, keep it. Move it up, actually, if you can.,All right, everybody. Two parts Plutonic quarks… One part cesium…. A-and listen, I’m sorry for shouting earlier. I-I couldn't ask for a better staff. I love you guys, and I love all your families. *readies water bottle* And the final ingredient…"
Principal Gene V.,"Uh, Mr. Meeseeks, was it? Yeah. Gene Vagina. Listen, I'm in a bit of custody thing with my ex and was wondering- - No, I'll get your info from Summer."
Principal Vagina,"Hello? Mrs. Smith? This is Principal Vagina, no relation. I wonder if you and Morty's father might be able to have a chat with me this afternoon?,The fact is, your son, Morty, has attended this school for a total of seven hours over the last two months.,I done been notifying you. Have you not been getting the messages I've been leaving with Morty's grandfather?,Yeah, see, I thought something was fishy there, because it's usually Morty's grandpa that's taking him out of school.,We had a little incident. A student was frozen to death.  And there's no evidence that a Latino student did it! Everyone wants to take this to a racial place. I won't let them.,Principal Vagina here, don't let the name fool you, I'm very much in charge, reminding you that tonight is our annual flu season dance. I don't know how many times I have to say this but if you have the flu, stay home, the flu season dance is about awareness, not celebration. You don't bring dead babies to Passover.,That's enough Bradley. We don't want you injuring your ball-throwing arm.,Hi, Principal Vagina. The name’s real, possibly Scandinavian. I’m just gonna come out and make this pitch. The old gods are dead. Fuck all previous existing religions. All hail the one true god, the giant head in the sky.,Ah, di di di di.  Bob, Bob, I get it. But unless this  can beat that… what have you done for me lately?  So if you wanna excuse me, I’m going out on the sidewalk and dropping to my knees and pledging my eternal soul to the thing that literally controls the fucking weather!  Outta my way!,Giant head in the sky, please forgive all that we’ve done. We’re sorry for increased levels of emissions and our racism. And of course, the amber alerts I keep ignoring on my phone.,Please be kind to us for we are but tiny things with entire bodies stuck to your ground.,The head has left and sent its children!,Hello? Yes sir, yeah. Thank you sir, thank you. He says he’s proud of what we’re doing and hopes we have a great Ascension Festival! Happy Ascension!,We hereby send these un-wantables skyward that they might be inhaled by the many heads, later to be sneezed back to us as better babies!  Headward, free now to rise.  Headward, free now to rise.  Headward, free now to rise.,Hi folks, Head Priest Vagina. Thanks for farming all those potatoes. It’s 6 p.m., so if you’re a parent, you’re now entitled to adoration from your children.,Jerry and Beth, your family is a golden example of what Headism has to offer the world.,Headism is a hit. We’re taking it worldwide and would like Jerry to be our church’s “Head” of Advertising.,Beth, we’d like to promote you from horse surgeon, straight past human surgeon, to “Head” of Medicine.,I’m sorry?,Headward free now to rise!,I’m sure that has… that has nothing to do with this.,No! Stop that! You’re not allowed to interpret the will of the heads!,I’m the only one that speaks to the heads!,Ohhh my GOOOOODDDD!!!,HEEEEELLLLPPPP!!!!!"
Pussifer,"Wood?!,Gahhh!"
Radio,"This is earth radio. And now, here's…human music.,Grab my terrifolds..."
Random Jerry," Duck, duck, birdie?  Very funny!"
Receptionist,Don’t forget to check the reason for your drop-off.
Regular Legs,"Hey there.,Wow! You sure found this guy quick!, Look, Baby Legs, it's the criminal!,I'm coming, Baby Legs! I'm Regular Legs!  We got him!"
Religious Morty,"There is no escape, my son. We will find our peace in the next world.,We’re giving in to the power of the One True Morty. One day he will return!,He is the one true Morty! The one true Morty!"
Reporter,"Reports are coming in from across the country about what appears to be a giant naked man over the continental United States. We now go to Tom Randolph in New York. Tom?,Thank you, Tom. Let's go now to Eric McMan in Los Angeles.,Well, if the old adage is true, one can only wonder what is going down in the Rocky Mountains.,The giant naked sky Santa has exploded. Blood and chunks of viscera are raining down on the country. Everything should be fine."
Reverse,"Giraffe: Or maybe, there's only one deceiver here -- The person that keeps telling us the path to salvation is being held prisoner and mistrusting each other."
Reverse Giraffe,"Maybe. Or maybe, just maybe, we're all real. You know me. I'm reverse giraffe. I have a short neck and legs. I went to college with Hamurai.,I saved Ghost In A Jar's life in Vietnam.,And Beth, how many times have I been a shoulder for you to cry on?,Okay, so maybe we're just all fake.,I know we all have beloved memories of Rick, but are we really supposed to believe that a mad scientist inventor with a flying car just showed up on our doorstep after being gone for years?"
